date,river_discharge_m3s,location
2010-08-05 16:00:00,5.0117373,Petaling
2010-08-06 16:00:00,7.0537844,Petaling
2010-08-07 16:00:00,13.7231245,Petaling
2010-08-08 16:00:00,14.99558,Petaling
2010-08-09 16:00:00,11.473834,Petaling
2010-08-10 16:00:00,8.57194,Petaling
2010-08-11 16:00:00,9.889299,Petaling
2010-08-12 16:00:00,12.001695,Petaling
2010-08-13 16:00:00,41.46196,Petaling
2010-08-14 16:00:00,57.21032,Petaling
2010-08-15 16:00:00,54.080776,Petaling
2010-08-16 16:00:00,52.579662,Petaling
2010-08-17 16:00:00,52.95106,Petaling
2010-08-18 16:00:00,47.86524,Petaling
2010-08-19 16:00:00,43.668358,Petaling
2010-08-20 16:00:00,33.99452,Petaling
2010-08-21 16:00:00,26.164394,Petaling
2010-08-22 16:00:00,22.280912,Petaling
2010-08-23 16:00:00,20.037783,Petaling
2010-08-24 16:00:00,16.864874,Petaling
2010-08-25 16:00:00,13.859358,Petaling
2010-08-26 16:00:00,12.489629,Petaling
2010-08-27 16:00:00,17.365385,Petaling
2010-08-28 16:00:00,15.255486,Petaling
2010-08-29 16:00:00,15.443716,Petaling
2010-08-30 16:00:00,27.054333,Petaling
2010-08-31 16:00:00,27.510185,Petaling
2010-09-01 16:00:00,28.10717,Petaling
2010-09-02 16:00:00,31.658787,Petaling
2010-09-03 16:00:00,24.29298,Petaling
2010-09-04 16:00:00,19.749136,Petaling
2010-09-05 16:00:00,15.710909,Petaling
2010-09-06 16:00:00,14.381548,Petaling
2010-09-07 16:00:00,14.595524,Petaling
2010-09-08 16:00:00,15.405899,Petaling
2010-09-09 16:00:00,13.791082,Petaling
2010-09-10 16:00:00,10.776059,Petaling
2010-09-11 16:00:00,8.506047,Petaling
2010-09-12 16:00:00,6.834296,Petaling
2010-09-13 16:00:00,5.839116,Petaling
2010-09-14 16:00:00,7.770009,Petaling
2010-09-15 16:00:00,12.995874,Petaling
2010-09-16 16:00:00,23.04363,Petaling
2010-09-17 16:00:00,22.768406,Petaling
2010-09-18 16:00:00,29.478947,Petaling
2010-09-19 16:00:00,32.18945,Petaling
2010-09-20 16:00:00,39.831932,Petaling
2010-09-21 16:00:00,35.982815,Petaling
2010-09-22 16:00:00,43.977985,Petaling
2010-09-23 16:00:00,47.752846,Petaling
2010-09-24 16:00:00,60.23503,Petaling
2010-09-25 16:00:00,63.714256,Petaling
2010-09-26 16:00:00,67.70685,Petaling
2010-09-27 16:00:00,56.279606,Petaling
2010-09-28 16:00:00,47.752846,Petaling
2010-09-29 16:00:00,50.286144,Petaling
2010-09-30 16:00:00,54.080776,Petaling
2010-10-01 16:00:00,51.48075,Petaling
2010-10-02 16:00:00,47.640724,Petaling
2010-10-03 16:00:00,37.194427,Petaling
2010-10-04 16:00:00,37.194427,Petaling
2010-10-05 16:00:00,37.547832,Petaling
2010-10-06 16:00:00,31.809532,Petaling
2010-10-07 16:00:00,26.54229,Petaling
2010-10-08 16:00:00,21.335722,Petaling
2010-10-09 16:00:00,17.03018,Petaling
2010-10-10 16:00:00,13.588143,Petaling
2010-10-11 16:00:00,10.748977,Petaling
2010-10-12 16:00:00,8.397233,Petaling
2010-10-13 16:00:00,6.6559663,Petaling
2010-10-14 16:00:00,5.2373486,Petaling
2010-10-15 16:00:00,3.9773712,Petaling
2010-10-16 16:00:00,2.8904512,Petaling
2010-10-17 16:00:00,2.1477482,Petaling
2010-10-18 16:00:00,1.7164392,Petaling
2010-10-19 16:00:00,1.4831331,Petaling
2010-10-20 16:00:00,1.4210291,Petaling
2010-10-21 16:00:00,1.432204,Petaling
2010-10-22 16:00:00,2.3884413,Petaling
2010-10-23 16:00:00,16.90606,Petaling
2010-10-24 16:00:00,16.418072,Petaling
2010-10-25 16:00:00,16.947334,Petaling
2010-10-26 16:00:00,18.275248,Petaling
2010-10-27 16:00:00,15.481625,Petaling
2010-10-28 16:00:00,11.852865,Petaling
2010-10-29 16:00:00,16.139572,Petaling
2010-10-30 16:00:00,22.173946,Petaling
2010-10-31 16:00:00,17.663797,Petaling
2010-11-01 16:00:00,15.481625,Petaling
2010-11-02 16:00:00,16.498468,Petaling
2010-11-03 16:00:00,13.223288,Petaling
2010-11-04 16:00:00,11.560299,Petaling
2010-11-05 16:00:00,13.859358,Petaling
2010-11-06 16:00:00,21.438816,Petaling
2010-11-07 16:00:00,22.768406,Petaling
2010-11-08 16:00:00,25.18183,Petaling
2010-11-09 16:00:00,22.227371,Petaling
2010-11-10 16:00:00,17.03018,Petaling
2010-11-11 16:00:00,17.450155,Petaling
2010-11-12 16:00:00,17.155155,Petaling
2010-11-13 16:00:00,16.988708,Petaling
2010-11-14 16:00:00,19.558905,Petaling
2010-11-15 16:00:00,29.338911,Petaling
2010-11-16 16:00:00,58.56621,Petaling
2010-11-17 16:00:00,51.239624,Petaling
2010-11-18 16:00:00,42.052654,Petaling
2010-11-19 16:00:00,62.241184,Petaling
2010-11-20 16:00:00,58.841152,Petaling
2010-11-21 16:00:00,41.756294,Petaling
2010-11-22 16:00:00,36.583744,Petaling
