index,date,location,rain_sum_mm,river_discharge_m3s,extreme_rain,extreme_discharge,extreme_both
11023,2024-03-06 16:00:00+00:00,Klang,78.5999984741211,128.41958618164062,1,1,1
11024,2024-03-07 16:00:00+00:00,Klang,41.09999465942383,139.92886352539062,1,1,1
11067,2024-04-19 16:00:00+00:00,Klang,33.099998474121094,262.6331481933594,1,1,1
11068,2024-04-20 16:00:00+00:00,Klang,27.200000762939453,243.3430633544922,1,1,1
11069,2024-04-21 16:00:00+00:00,Klang,55.5,189.9852752685547,1,1,1
11072,2024-04-24 16:00:00+00:00,Klang,54.900001525878906,149.314208984375,1,1,1
11074,2024-04-26 16:00:00+00:00,Klang,39.500003814697266,161.5548553466797,1,1,1
11078,2024-04-30 16:00:00+00:00,Klang,39.400001525878906,256.6321105957031,1,1,1
11079,2024-05-01 16:00:00+00:00,Klang,57.000003814697266,192.6421661376953,1,1,1
11083,2024-05-05 16:00:00+00:00,Klang,39.599998474121094,145.89263916015625,1,1,1
11084,2024-05-06 16:00:00+00:00,Klang,28.000001907348633,156.03631591796875,1,1,1
11087,2024-05-09 16:00:00+00:00,Klang,26.599998474121094,147.25181579589844,1,1,1
11088,2024-05-10 16:00:00+00:00,Klang,80.79999542236328,168.82437133789062,1,1,1
11089,2024-05-11 16:00:00+00:00,Klang,35.20000076293945,173.58226013183594,1,1,1
11092,2024-05-14 16:00:00+00:00,Klang,41.79999923706055,214.2781524658203,1,1,1
11093,2024-05-15 16:00:00+00:00,Klang,62.19999694824219,206.01412963867188,1,1,1
11096,2024-05-18 16:00:00+00:00,Klang,28.700000762939453,132.35214233398438,1,1,1
11098,2024-05-20 16:00:00+00:00,Klang,27.900001525878906,168.82437133789062,1,1,1
11099,2024-05-21 16:00:00+00:00,Klang,45.79999923706055,160.80804443359375,1,1,1
11102,2024-05-24 16:00:00+00:00,Klang,33.099998474121094,130.52247619628906,1,1,1
11105,2024-05-27 16:00:00+00:00,Klang,33.69999694824219,177.64878845214844,1,1,1
11108,2024-05-30 16:00:00+00:00,Klang,43.099998474121094,180.13397216796875,1,1,1
11293,2024-12-01 16:00:00+00:00,Klang,33.79999923706055,196.2423095703125,1,1,1
11294,2024-12-02 16:00:00+00:00,Klang,28.099998474121094,144.5459442138672,1,1,1
11315,2024-12-23 16:00:00+00:00,Klang,41.79999923706055,141.88938903808594,1,1,1
11328,2025-01-05 16:00:00+00:00,Klang,43.60000228881836,132.04547119140625,1,1,1
11653,2025-11-26 16:00:00+00:00,Klang,70.0999984741211,228.61489868164062,1,1,1
5810,2025-11-27 16:00:00+00:00,Petaling,36.19999694824219,167.65530395507812,1,1,1
11654,2025-11-27 16:00:00+00:00,Klang,51.599998474121094,336.2873840332031,1,1,1
